rank,TABLE_NAME,fulldate,daypart,monthpart,yearpart,monthnum,daynum,yearnum,TABLE_ROWS
312,fo02apr2002bhav,02apr2002,02,apr,2002,4,2,2002,1582
313,fo03apr2002bhav,03apr2002,03,apr,2002,4,3,2002,1600
314,fo04apr2002bhav,04apr2002,04,apr,2002,4,4,2002,1616
315,fo05apr2002bhav,05apr2002,05,apr,2002,4,5,2002,1636
316,fo08apr2002bhav,08apr2002,08,apr,2002,4,8,2002,1648
317,fo09apr2002bhav,09apr2002,09,apr,2002,4,9,2002,1648
318,fo10apr2002bhav,10apr2002,10,apr,2002,4,10,2002,1656
319,fo11apr2002bhav,11apr2002,11,apr,2002,4,11,2002,1692
320,fo12apr2002bhav,12apr2002,12,apr,2002,4,12,2002,1698
321,fo15apr2002bhav,15apr2002,15,apr,2002,4,15,2002,1700
322,fo16apr2002bhav,16apr2002,16,apr,2002,4,16,2002,1714
323,fo17apr2002bhav,17apr2002,17,apr,2002,4,17,2002,1732
324,fo18apr2002bhav,18apr2002,18,apr,2002,4,18,2002,1738
325,fo19apr2002bhav,19apr2002,19,apr,2002,4,19,2002,1740
326,fo22apr2002bhav,22apr2002,22,apr,2002,4,22,2002,1776
327,fo23apr2002bhav,23apr2002,23,apr,2002,4,23,2002,1788
328,fo24apr2002bhav,24apr2002,24,apr,2002,4,24,2002,1794
329,fo25apr2002bhav,25apr2002,25,apr,2002,4,25,2002,1794
330,fo26apr2002bhav,26apr2002,26,apr,2002,4,26,2002,4353
331,fo29apr2002bhav,29apr2002,29,apr,2002,4,29,2002,1488
332,fo30apr2002bhav,30apr2002,30,apr,2002,4,30,2002,1530
333,fo02may2002bhav,02may2002,02,may,2002,5,2,2002,1542
334,fo03may2002bhav,03may2002,03,may,2002,5,3,2002,1564
335,fo06may2002bhav,06may2002,06,may,2002,5,6,2002,1570
336,fo07may2002bhav,07may2002,07,may,2002,5,7,2002,1598
337,fo08may2002bhav,08may2002,08,may,2002,5,8,2002,1614
338,fo09may2002bhav,09may2002,09,may,2002,5,9,2002,1618
339,fo10may2002bhav,10may2002,10,may,2002,5,10,2002,1624
340,fo13may2002bhav,13may2002,13,may,2002,5,13,2002,1626
341,fo14may2002bhav,14may2002,14,may,2002,5,14,2002,1648
342,fo15may2002bhav,15may2002,15,may,2002,5,15,2002,1652
343,fo16may2002bhav,16may2002,16,may,2002,5,16,2002,1672
344,fo17may2002bhav,17may2002,17,may,2002,5,17,2002,1678
345,fo20may2002bhav,20may2002,20,may,2002,5,20,2002,1702
346,fo21may2002bhav,21may2002,21,may,2002,5,21,2002,1738
347,fo22may2002bhav,22may2002,22,may,2002,5,22,2002,1790
348,fo23may2002bhav,23may2002,23,may,2002,5,23,2002,1812
349,fo24may2002bhav,24may2002,24,may,2002,5,24,2002,1868
350,fo27may2002bhav,27may2002,27,may,2002,5,27,2002,1874
351,fo28may2002bhav,28may2002,28,may,2002,5,28,2002,1880
352,fo29may2002bhav,29may2002,29,may,2002,5,29,2002,1886
353,fo30may2002bhav,30may2002,30,may,2002,5,30,2002,1892
354,fo31may2002bhav,31may2002,31,may,2002,5,31,2002,1521
355,fo03jun2002bhav,03jun2002,03,jun,2002,6,3,2002,1547
356,fo04jun2002bhav,04jun2002,04,jun,2002,6,4,2002,1579
357,fo05jun2002bhav,05jun2002,05,jun,2002,6,5,2002,1607
358,fo06jun2002bhav,06jun2002,06,jun,2002,6,6,2002,1651
359,fo07jun2002bhav,07jun2002,07,jun,2002,6,7,2002,1655
360,fo10jun2002bhav,10jun2002,10,jun,2002,6,10,2002,1667
361,fo11jun2002bhav,11jun2002,11,jun,2002,6,11,2002,1677
362,fo12jun2002bhav,12jun2002,12,jun,2002,6,12,2002,1739
363,fo13jun2002bhav,13jun2002,13,jun,2002,6,13,2002,1751
364,fo14jun2002bhav,14jun2002,14,jun,2002,6,14,2002,1757
365,fo17jun2002bhav,17jun2002,17,jun,2002,6,17,2002,1767
366,fo18jun2002bhav,18jun2002,18,jun,2002,6,18,2002,1783
367,fo19jun2002bhav,19jun2002,19,jun,2002,6,19,2002,3565
368,fo20jun2002bhav,20jun2002,20,jun,2002,6,20,2002,1787
369,fo21jun2002bhav,21jun2002,21,jun,2002,6,21,2002,1803
370,fo24jun2002bhav,24jun2002,24,jun,2002,6,24,2002,3564
371,fo25jun2002bhav,25jun2002,25,jun,2002,6,25,2002,1813
372,fo26jun2002bhav,26jun2002,26,jun,2002,6,26,2002,7142
373,fo27jun2002bhav,27jun2002,27,jun,2002,6,27,2002,1813
374,fo28jun2002bhav,28jun2002,28,jun,2002,6,28,2002,1491
375,fo01jul2002bhav,01jul2002,01,jul,2002,7,1,2002,1547
376,fo02jul2002bhav,02jul2002,02,jul,2002,7,2,2002,1563
377,fo03jul2002bhav,03jul2002,03,jul,2002,7,3,2002,1581
378,fo04jul2002bhav,04jul2002,04,jul,2002,7,4,2002,1583
379,fo05jul2002bhav,05jul2002,05,jul,2002,7,5,2002,1597
380,fo08jul2002bhav,08jul2002,08,jul,2002,7,8,2002,1625
381,fo09jul2002bhav,09jul2002,09,jul,2002,7,9,2002,1629
382,fo10jul2002bhav,10jul2002,10,jul,2002,7,10,2002,1635
